=IMAGE("http://www.cocacola.co.jp/content/dam/journey/jp/ja/global/2016/products/0829/%E3%82%B3%E3%83%BC%E3%83%A9%E3%80%81%E3%82%B3%E3%83%BC%E3%83%A9%E3%82%BC%E3%83%AD/thum_ko_001.jpg.resize.w_100.h_83...jpg/zYaf1Up6EIUHCMroWQNA/0.jpg"), コカ・コーラ, コーラ, コカ・コーラ
=IMAGE("http://www.cocacola.co.jp/content/dam/journey/jp/ja/global/2016/products/no_frame/thum_ko_003.jpg.resize.w_100.h_83...jpg/zYaf1Up6EIUHCMroWQNA/0.jpg"), コカ・コーラ, コーラ, コカ・コーラ ライフ
=IMAGE("http://www.cocacola.co.jp/content/dam/journey/jp/ja/global/2016/products/no_frame/thum_kozero_001.jpg.resize.w_100.h_83...jpg/zYaf1Up6EIUHCMroWQNA/0.jpg"), コカ・コーラ, コーラ, コカ・コーラ ゼロ
=IMAGE("http://www.cocacola.co.jp/content/dam/journey/jp/ja/global/2016/products/no_frame/thum_kozero_002.jpg.resize.w_100.h_83...jpg/zYaf1Up6EIUHCMroWQNA/0.jpg"), コカ・コーラ, コーラ, コカ・コーラ ゼロフリー
=IMAGE("http://www.cocacola.co.jp/content/dam/journey/jp/ja/global/2016/products/no_frame/thum_fanta_001.jpg.resize.w_100.h_83...jpg/zYaf1Up6EIUHCMroWQNA/0.jpg"), コカ・コーラ, 炭酸飲料, ファンタ グレープ
=IMAGE("http://www.cocacola.co.jp/content/dam/journey/jp/ja/global/2016/products/no_frame/thum_fanta_002.jpg.resize.w_100.h_83...jpg/zYaf1Up6EIUHCMroWQNA/0.jpg"), コカ・コーラ, 炭酸飲料, ファンタ オレンジ
=IMAGE("http://www.cocacola.co.jp/content/dam/journey/jp/ja/global/2016/products/0912/pc_thum_fanta_070.png.resize.w_100.h_83...png/zYaf1Up6EIUHCMroWQNA/0.png"), コカ・コーラ, 炭酸飲料, ファンタ 真っ赤なオレンジ
=IMAGE("http://www.cocacola.co.jp/content/dam/journey/jp/ja/global/2016/products/no_frame/thum_fanta_069.jpg.resize.w_100.h_83...jpg/zYaf1Up6EIUHCMroWQNA/0.jpg"), コカ・コーラ, 炭酸飲料, ファンタ すいか
=IMAGE("http://www.cocacola.co.jp/content/dam/journey/jp/ja/global/2016/products/no_frame/thum_fanta_067.jpg.resize.w_100.h_83...jpg/zYaf1Up6EIUHCMroWQNA/0.jpg"), コカ・コーラ, 炭酸飲料, ファンタ レモン+C
=IMAGE("http://www.cocacola.co.jp/content/dam/journey/jp/ja/global/2016/products/no_frame/thum_sprite_001.jpg.resize.w_100.h_83...jpg/zYaf1Up6EIUHCMroWQNA/0.jpg"), コカ・コーラ, 炭酸飲料, スプライト
=IMAGE("http://www.cocacola.co.jp/content/dam/journey/jp/ja/global/2016/products/0905/%E3%82%AB%E3%83%8A%E3%83%80%E3%83%89%E3%83%A9%E3%82%A43%E8%A3%BD%E5%93%81/thum_pc_canadadry_001.png.resize.w_100.h_83...png/zYaf1Up6EIUHCMroWQNA/0.png"), コカ・コーラ, 炭酸飲料, カナダドライ ジンジャーエール
=IMAGE("http://www.cocacola.co.jp/content/dam/journey/jp/ja/global/2016/products/0905/%E3%82%AB%E3%83%8A%E3%83%80%E3%83%89%E3%83%A9%E3%82%A43%E8%A3%BD%E5%93%81/thum_pc_canadadry_002.png.resize.w_100.h_83...png/zYaf1Up6EIUHCMroWQNA/0.png"), コカ・コーラ, 炭酸飲料, カナダドライ トニックウォーター
