=IMAGE("http://www.dydo.co.jp/prod/coffee/blend_milkcoffee_bito/m2.jpg"),ダイドードリンコ,コーヒー飲料,ブレンドミルクコーヒー
=IMAGE("http://www.dydo.co.jp/prod/jtea/hanochya_houjyunissen_hot/m2.jpg"),ダイドードリンコ,緑茶,葉の茶 芳醇一煎ホット
=IMAGE("http://www.dydo.co.jp/prod/jtea/hanochya_houjyunissen300/m2.jpg"),ダイドードリンコ,緑茶,葉の茶 芳醇一煎300
=IMAGE("http://www.dydo.co.jp/prod/jtea/hanochya_houjyunissen500/m2.jpg"),ダイドードリンコ,緑茶,葉の茶 芳醇一煎500
=IMAGE("http://www.dydo.co.jp/prod/jtea/hanocha_houjicha_hot16/m2.jpg"),ダイドードリンコ,その他お茶,葉の茶 ほうじ茶
=IMAGE("http://www.dydo.co.jp/prod/jtea/hanocha_houjicha16/m2.jpg"),ダイドードリンコ,その他お茶,葉の茶 ほうじ茶(北陸限定)
=IMAGE("http://www.dydo.co.jp/prod/jtea/otonano_calolimit/m2.jpg"),ダイドードリンコ,その他お茶,大人のカロリミット はとむぎブレンド茶
=IMAGE("http://www.dydo.co.jp/prod/jtea/oishii_mugicha14/m2.jpg"),ダイドードリンコ,その他お茶,葉の茶 ほうじ茶(北陸限定)
=IMAGE("http://www.dydo.co.jp/prod/jtea/yanlong-cha12/m2.jpg"),ダイドードリンコ,その他お茶,おいしい麦茶
=IMAGE("http://www.dydo.co.jp/prod/kinousei/miu_550_16/m2.jpg"),ダイドードリンコ,ミネラルウォーター,miu
=IMAGE("http://www.dydo.co.jp/prod/kinousei/miu_lemon_orange_16/m2.jpg"),ダイドードリンコ,ミネラルウォーター,miu レモン&オレンジ
=IMAGE("http://www.dydo.co.jp/prod/kinousei/miu_plus_sports/m2.jpg"),ダイドードリンコ,スポーツ飲料,ミウ プラススポーツ
=IMAGE("http://www.dydo.co.jp/prod/kinousei/miu_vitamin_2016/m2.jpg"),ダイドードリンコ,スポーツ飲料,miu プラスビタミン
=IMAGE("http://www.dydo.co.jp/prod/soda/miu_sparkring_lemon16/m2.jpg"),ダイドードリンコ,炭酸飲料,miu レモン&グレープフルーツ スパークリング
=IMAGE("http://www.dydo.co.jp/prod/soda/miu_sparkling/m2.jpg"),ダイドードリンコ,炭酸飲料,炭酸水
=IMAGE("http://www.dydo.co.jp/prod/soda/wakagokochi_ycider_16/m2.jpg"),ダイドードリンコ,炭酸飲料,和果ごこち ゆずれもんサイダー
=IMAGE("http://www.dydo.co.jp/prod/soda/wakagokochi_hycider_16/m2.jpg"),ダイドードリンコ,炭酸飲料,和果ごこち 日向夏サイダー
=IMAGE("http://www.dydo.co.jp/prod/soda/mistio_grape_sp16/m2.jpg"),ダイドードリンコ,炭酸飲料,ミスティオ グレープスパークリング
=IMAGE("http://www.dydo.co.jp/prod/fruit/wakagokochi_yuzulemon350_16/m2.jpg"),ダイドードリンコ,果汁飲料,和果ごこち ゆずれもん
=IMAGE("http://www.dydo.co.jp/prod/fruit/wakagokochi_yuzulemon500_16/m2.jpg"),ダイドードリンコ,果汁飲料,和果ごこち ゆずれもん
=IMAGE("http://www.dydo.co.jp/prod/fruit/wakagokochi_yuzulemon_hot16/m2.jpg"),ダイドードリンコ,果汁飲料,和果ごこち ゆずれもんほっと
=IMAGE("http://www.dydo.co.jp/prod/fruit/wakagokochi_sakuranbomomo_16/m2.jpg"),ダイドードリンコ,果汁飲料,和果ごこち さくらんぼもも
=IMAGE("http://www.dydo.co.jp/prod/fruit/ume_yoroshi15/m2.jpg"),ダイドードリンコ,果汁飲料,梅よろし
=IMAGE("http://www.dydo.co.jp/prod/fruit/pocket_monster_apple_peach/m2.jpg"),ダイドードリンコ,果汁飲料,ポケットモンスター アップル&ピーチ
=IMAGE("http://www.dydo.co.jp/prod/fruit/purushari_mikan/m2.jpg"),ダイドードリンコ,果汁飲料,ぷるシャリみかん
=IMAGE("http://www.dydo.co.jp/prod/tea/zeitakukoucha_jasmintea16/m2.jpg"),ダイドードリンコ,その他お茶,贅沢香茶 ジャスミンティー
=IMAGE("http://www.dydo.co.jp/prod/tea/zeitakukoucha_hot_2016/m2.jpg"),ダイドードリンコ,その他お茶,贅沢香茶 ジャスミンティー 評茶師監修
=IMAGE("http://www.dydo.co.jp/prod/tea/zeitakukoucha_rh_p_tea/m2.jpg"),ダイドードリンコ,その他お茶,贅沢香茶 ローズヒップティーwithピーチ
=IMAGE("http://www.dydo.co.jp/prod/tea/zeitakukoucha_late_p/m2.jpg"),ダイドードyリンコ,その他お茶,贅沢香茶 ローズヒップティーwithピーチジャスミンティー
=IMAGE("http://www.dydo.co.jp/prod/tea/zeitakukoucha_ft_tea/m2.jpg"),ダイドードリンコ,その他お茶,贅沢香茶 ジャスミンティーラテ Premium
=IMAGE("http://www.dydo.co.jp/prod/tea/fruits_au_lait16/m2.jpg"),ダイドードリンコ,その他お茶,贅沢香茶 本格派のフルーツティー
