=IMAGE("http://www.kirin.co.jp/products/list/item/softdrink/images/10000690b.jpg"),キリン,緑茶,生茶
=IMAGE("http://www.kirin.co.jp/products/list/item/softdrink/images/10002227b.jpg"),キリン,紅茶,午後の紅茶 レモンティー
=IMAGE("http://www.kirin.co.jp/products/list/item/softdrink/images/10002229b.jpg"),キリン,紅茶,午後の紅茶 ミルクティー
=IMAGE("http://www.kirin.co.jp/products/list/item/softdrink/images/10002224b.jpg"),キリン,紅茶,午後の紅茶 ストレートティー
=IMAGE("http://www.kirin.co.jp/products/list/item/softdrink/images/10002491b.jpg"),キリン,果汁飲料,小岩井 純水りんご
=IMAGE("http://www.kirin.co.jp/products/list/item/softdrink/images/10000841b.jpg"),キリン,炭酸飲料,キリンレモン
=IMAGE("http://www.kirin.co.jp/products/list/item/softdrink/images/10002498b.jpg"),キリン,果汁飲料,小岩井 純水ぶどう
=IMAGE("http://www.kirin.co.jp/products/list/item/softdrink/images/10002479b.jpg"),キリン,果汁飲料,小岩井 純水みかん
=IMAGE("http://www.kirin.co.jp/products/list/item/softdrink/images/10002338b.jpg"),キリン,コーヒー飲料,小岩井 ミルクとコーヒー
=IMAGE("http://www.kirin.co.jp/products/list/item/softdrink/images/10002805b.jpg"),キリン,コーラ,メッツ コーラ
=IMAGE("http://www.kirin.co.jp/products/list/item/softdrink/images/10002740b.jpg"),キリン,緑茶,生茶 (小型容器)
=IMAGE("http://www.kirin.co.jp/products/list/item/softdrink/images/10000195b.jpg"),キリン,炭酸飲料,ガラナ(北海道限定)
=IMAGE("http://www.kirin.co.jp/products/list/item/softdrink/images/10002700b.jpg"),キリン,紅茶,午後の紅茶　おいしい無糖
=IMAGE("http://www.kirin.co.jp/products/list/item/softdrink/images/10002749b.jpg"),キリン,炭酸飲料,メッツ グレープフルーツ
=IMAGE("http://www.kirin.co.jp/products/list/item/softdrink/images/10002750b.jpg"),キリン,炭酸飲料,メッツ グレープ
=IMAGE("http://www.kirin.co.jp/products/list/item/softdrink/images/10002751b.jpg"),キリン,炭酸飲料,メッツ レモン
=IMAGE("http://www.kirin.co.jp/products/list/item/softdrink/images/10002191b.jpg"),キリン,ミネラルウォーター,ボルヴィック
=IMAGE("http://www.kirin.co.jp/products/list/item/softdrink/images/10003002b.jpg"),キリン,紅茶,午後の紅茶 あたたかいレモンティー
=IMAGE("http://www.kirin.co.jp/products/list/item/softdrink/images/10003003b.jpg"),キリン,紅茶,午後の紅茶 あたたかいミルクティー
